Country,Reporting Period,Channel,Period,iAPE,VNB ,pAPE,pVNB,iAPE Plan,VNB Plan,pAPE Plan,pVNB Plan,iAPE PY,VNB PY,pAPE PY,pVNB PY,Product 1,Product 2,Product 3,Product 4,Product 5,Product 6,Product 7,Product 8,Product 9,Product 10,iAPE Product 1,iAPE Product 2,iAPE Product 3,iAPE Product 4,iAPE Product 5,iAPE Product 6,iAPE Product 7,iAPE Product 8,iAPE Product 9,iAPE Product 10,iAPE Product Others,VNB Product 1,VNB Product 2,VNB Product 3,VNB Product 4,VNB Product 5,VNB Product 6,VNB Product 7,VNB Product 8,VNB Product 9,VNB Product 10,VNB Product Others,p% Product 1,p% Product 2,p% Product 3,p% Product 4,p% Product 5,p% Product 6,p% Product 7,p% Product 8,p% Product 9,p% Product 10,Product Type 1,Product Type 2,Product Type 3,Product Type 4,Product Type 5,Product Type 6,Product Type 7,Product Type 8,Product Type 9,Product Type 10,LCY,YTD ExR,iAPE Act USD,iAPE Fore USD,VNB Act USD,VNB Fore USD,pAPE Act USD,pAPE Fore USD,pVNB Act USD,pVNB Fore USD,iAPE Plan USD,VNB Plan USD,pAPE Plan USD,pVNB Plan USD,VNB Margin Act,VNB Margin Fore,Prot. Ratio Act,Prot. Ratio Fore,ExR Plan
HK,Dec-19,Agency,2019/1/1,66.96349751,56.72685522,30.93687301,30.63173334,55.40231672,35.78142617,24.69810693,19.20973633,46.34623186,30.68426854,20.93549018,16.531753,Crisis XDefender Supreme,MaxFocus,Mind+ Critical Illness,Noble Fortune,Crisis OneCover,MediSaver Supreme,Life Promise,CANsurance,i.PaySmart,Basic Plus II series,15.88043878,17.38783471,10.04190478,5.83328757,0,0,2.264512529,2.053873097,1.83057491,1.981366564,9.689704568,11.21239125,13.87629585,12.08125949,2.278153909,0,0,3.61748576,2.488662508,0.497652306,0.327879778,10.34707438,64%,22%,65%,9%,73%,53%,35%,99%,39%,12%,SPRO,TPAR,SPRO,UNLF,SPRO,SPRO,TPAR,SPRO,TPAR,UNLF,HKD,7.841997762,8.539086536,0,7.233724995,0,3.945024463,0,3.906113502,0,7.061269607,4.560500571,3.147882654,2.448365616,85%,,54%,,7.8459427
HK,Dec-19,Agency,2019/2/1,77.8083383,61.52017336,32.87553425,30.50890713,41.55173754,27.02062955,19.32175438,15.14650682,37.72695223,26.47068591,15.42062181,13.49872319,Crisis XDefender Supreme,MaxFocus,Mind+ Critical Illness,Noble Fortune,Crisis OneCover,MediSaver Supreme,Life Promise,CANsurance,i.PaySmart,Basic Plus II series,12.10062,24.51088055,12.20179732,6.000355522,0,0,3.781312057,1.726887526,3.008888741,6.073514324,8.404082262,8.484673444,17.64554042,14.02723832,2.710196286,0,0,5.799746464,2.052394491,0.785782089,1.367315666,8.64728618,64%,22%,65%,9%,73%,53%,35%,99%,39%,12%,SPRO,TPAR,SPRO,UNLF,SPRO,SPRO,TPAR,SPRO,TPAR,UNLF,HKD,7.847848015,9.914608202,0,7.83911376,0,4.189114543,0,3.88755071,0,5.295952205,3.443898405,2.46264281,1.930489095,79%,,50%,,7.8459427
HK,Dec-19,Agency,2019/3/1,119.2302484,95.86820404,56.36621988,50.16356424,110.8046334,71.85098911,49.90398332,38.89378023,93.49872109,65.71848565,37.87374695,31.93959748,Crisis XDefender Supreme,MaxFocus,Mind+ Critical Illness,Noble Fortune,Crisis OneCover,MediSaver Supreme,Life Promise,CANsurance,i.PaySmart,Basic Plus II series,47.12861937,32.62630099,10.53099844,4.469264943,0,0,3.317829566,2.627856017,2.777815132,3.914970363,11.8365936,30.70933415,24.30867152,12.35200486,2.475526429,0,0,5.169483841,2.917789388,0.751006807,0.705020699,16.47936634,64%,22%,65%,9%,73%,53%,35%,99%,39%,12%,SPRO,TPAR,SPRO,UNLF,SPRO,SPRO,TPAR,SPRO,TPAR,UNLF,HKD,7.849421956,15.18968519,0,12.21340942,0,7.180938953,0,6.39073355,0,14.12253921,9.157725446,6.360482765,4.957183823,80%,,52%,,7.8459427
HK,Dec-19,Agency,2019/4/1,61.69548401,47.46407267,29.30166565,26.01810488,71.0895241,46.32329317,32.61969398,25.53068702,36.24097582,28.53688704,15.3052286,15.78079233,Crisis XDefender Supreme,MaxFocus,Mind+ Critical Illness,Noble Fortune,Crisis OneCover,MediSaver Supreme,Life Promise,CANsurance,i.PaySmart,Basic Plus II series,18.79250212,11.26501792,8.35907339,6.393743065,0,0,1.631314716,2.863124628,1.480767296,2.691690786,8.218250093,12.32087029,8.903942283,9.878929417,2.588534849,0,0,2.462627667,2.642912225,0.120575547,0.513122205,8.032558191,64%,22%,65%,9%,73%,53%,35%,99%,39%,12%,SPRO,TPAR,SPRO,UNLF,SPRO,SPRO,TPAR,SPRO,TPAR,UNLF,HKD,7.844962516,7.864344015,0,6.050261244,0,3.735093136,0,3.316536545,0,9.060673372,5.904108013,4.15752386,3.253998658,77%,,55%,,7.8459427
HK,Dec-19,Agency,2019/5/1,90.36157169,70.25522177,45.30072329,38.67122037,141.5095941,92.48720502,65.50696231,51.24537647,73.24686797,53.95585557,33.01329231,29.28408509,Crisis XDefender Supreme,MaxFocus,Mind+ Critical Illness,Noble Fortune,Crisis OneCover,MediSaver Supreme,Life Promise,CANsurance,i.PaySmart,Basic Plus II series,25.53513458,17.23842396,13.82393559,11.9542123,0,0,1.579012515,4.331288272,1.65286643,1.028384053,13.21831399,15.49067718,12.28719998,15.45719199,7.034645185,0,0,2.353991642,3.459871034,0.22918422,0.232126376,13.71033417,64%,22%,65%,9%,73%,53%,35%,99%,39%,12%,SPRO,TPAR,SPRO,UNLF,SPRO,SPRO,TPAR,SPRO,TPAR,UNLF,HKD,7.848236819,11.5136143,0,8.951720417,0,5.772089239,0,4.927376844,0,18.03602186,11.78790217,8.349151251,6.531449238,78%,,55%,,7.8459427
HK,Dec-19,Agency,2019/6/1,124.3260221,91.50042516,58.87848444,47.32943831,133.6653613,87.08729331,61.23268317,47.82648443,58.60924078,43.78596882,27.89417937,24.7719363,Crisis XDefender Supreme,MaxFocus,Mind+ Critical Illness,Noble Fortune,Crisis OneCover,MediSaver Supreme,Life Promise,CANsurance,i.PaySmart,Basic Plus II series,41.26073853,34.53773262,12.80680163,9.369756778,0,0.234794868,2.403204935,5.612002279,2.49350774,1.201004625,14.40647811,24.68411311,23.64787349,14.7737664,4.778361093,0,0.084797998,3.775493825,4.780604155,0.478916697,0.294169248,14.20232915,64%,22%,65%,9%,73%,53%,35%,99%,39%,12%,SPRO,TPAR,SPRO,UNLF,SPRO,SPRO,TPAR,SPRO,TPAR,UNLF,HKD,7.826057697,15.88616222,0,11.6917647,0,7.523390028,0,6.047673061,0,17.03623981,11.09965961,7.804375524,6.095696369,74%,,52%,,7.8459427
HK,Dec-19,Agency,2019/7/1,89.03342278,62.24916588,42.93885274,35.07281147,74.82056479,48.77174987,34.08756043,26.7127937,40.52113111,33.63885853,17.59288251,17.9249201,Crisis XDefender Supreme,MaxFocus,Mind+ Critical Illness,Noble Fortune,Crisis OneCover,MediSaver Supreme,Life Promise,CANsurance,i.PaySmart,Basic Plus II series,20.76903092,14.88422171,13.32807676,9.390533202,0,3.394466031,4.385761041,4.215619544,4.728300059,2.43243625,11.50497726,12.71279045,10.51011335,13.4236457,3.17183091,0,1.060556402,5.61432935,4.195666098,0.216916208,0.788179301,10.55513812,64%,22%,65%,9%,73%,53%,35%,99%,39%,12%,SPRO,TPAR,SPRO,UNLF,SPRO,SPRO,TPAR,SPRO,TPAR,UNLF,HKD,7.811993504,11.397017,0,7.968409836,0,5.496529498,0,4.489610935,0,9.536210963,6.216174618,4.344609912,3.404663368,70%,,56%,,7.8459427
HK,Dec-19,Agency,2019/8/1,102.1095695,76.47438989,53.05603078,43.72574825,116.0095941,76.03862275,53.7730044,42.21441585,68.11153327,55.53919274,33.39276081,30.16806761,Crisis XDefender Supreme,MaxFocus,Mind+ Critical Illness,Noble Fortune,Crisis OneCover,MediSaver Supreme,Life Promise,CANsurance,i.PaySmart,Basic Plus II series,33.35577044,12.1799334,16.21047311,2.316135201,0,9.968722451,4.418307809,3.404622072,3.404130905,2.746978363,14.10449576,18.39235469,8.709552812,17.13622619,1.069543352,0,10.87702538,5.767095412,3.765121476,0.094986985,0.318405793,10.3440778,64%,22%,65%,9%,73%,53%,35%,99%,39%,12%,SPRO,TPAR,SPRO,UNLF,SPRO,SPRO,TPAR,SPRO,TPAR,UNLF,HKD,7.841198315,13.02218939,0,9.752895771,0,6.766316659,0,5.576411473,0,14.7859344,9.691457821,6.853606565,5.380413478,75%,,57%,,7.8459427
HK,Dec-19,Agency,2019/9/1,102.4804372,85.36928763,54.91709146,48.0382974,155.4343206,99.09604155,72.14401879,53.60099274,94.95552622,78.16485667,47.8059755,42.69375605,Crisis XDefender Supreme,MaxFocus,Mind+ Critical Illness,Noble Fortune,Crisis OneCover,MediSaver Supreme,Life Promise,CANsurance,i.PaySmart,Basic Plus II series,32.70166901,8.155549808,11.8997242,6.664009494,0,20.70492143,4.59315685,3.322026351,2.982026858,1.702683102,9.754670096,17.82722737,6.01676507,12.14581216,4.687317456,0,25.29433301,6.17464125,3.58097324,0.162070647,0.208582654,9.271564773,64%,22%,65%,9%,73%,53%,35%,99%,39%,12%,SPRO,TPAR,SPRO,UNLF,SPRO,SPRO,TPAR,SPRO,TPAR,UNLF,HKD,7.835798548,13.07849309,0,10.89477826,0,7.008486898,0,6.130619248,0,19.81078968,12.63022754,9.195073371,6.83168292,83%,,56%,,7.8459427
HK,Dec-19,Agency,2019/10/1,106.3280559,67.55029687,52.35891287,38.39765884,133.5319328,85.13715233,61.97072523,46.10104002,97.76294271,87.62230658,45.73472846,45.772605,Crisis XDefender Supreme,MaxFocus,Mind+ Critical Illness,Noble Fortune,Crisis OneCover,MediSaver Supreme,Life Promise,CANsurance,i.PaySmart,Basic Plus II series,26.79093792,16.30117326,11.31126374,4.43730705,8.3199539,10.53028873,3.703040866,3.2570688,3.493620843,3.36217356,14.82122727,11.92431069,9.773566031,10.25900933,1.19930122,6.338218388,11.09625126,4.226823092,3.348569795,-1.679328369,0.769553524,10.29402191,64%,22%,65%,9%,73%,53%,35%,99%,39%,12%,SPRO,TPAR,SPRO,UNLF,SPRO,SPRO,TPAR,SPRO,TPAR,UNLF,HKD,7.842299053,13.55827611,0,8.613583391,0,6.676474911,0,4.896224765,0,17.01923375,10.85110554,7.898442239,5.87578087,64%,,57%,,7.8459427
